sub_region_2,iso_3166_2_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,11/03/2020,-50,-21,-6,-41,-34,17
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,11/03/2020,-47,-14,-14,-59,-31,16
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,12/03/2020,-70,-26,-58,-68,-48,25
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,12/03/2020,-67,-28,-46,-65,-41,22
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,12/03/2020,-64,-28,-53,-58,-39,23
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,12/03/2020,-72,-24,-49,-55,-40,23
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,12/03/2020,-67,-25,-52,-56,-36,22
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,12/03/2020,-71,-24,-63,-69,-44,23
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,12/03/2020,-69,-29,-53,-55,-43,22
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,12/03/2020,-67,-21,-45,-68,-40,22
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,13/03/2020,-74,-29,-50,-70,-54,29
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,13/03/2020,-72,-32,-57,-67,-47,26
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,13/03/2020,-68,-28,-54,-61,-44,25
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,13/03/2020,-76,-28,-42,-56,-47,27
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,13/03/2020,-72,-29,-56,-60,-43,26
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,13/03/2020,-76,-29,-57,-73,-50,27
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,13/03/2020,-74,-35,-45,-61,-47,26
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,13/03/2020,-73,-26,-60,-72,-45,25
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,14/03/2020,-84,-48,-77,-76,-56,25
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,14/03/2020,-84,-50,-67,-76,-52,25
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,14/03/2020,-80,-46,-73,-71,-47,24
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,14/03/2020,-86,-52,-70,-66,-52,25
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,14/03/2020,-84,-48,-79,-71,-53,27
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,14/03/2020,-87,-48,-83,-84,-56,24
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,14/03/2020,-86,-53,-80,-75,-56,25
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,14/03/2020,-85,-47,-75,-77,-51,24
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,15/03/2020,-91,-66,-78,-81,-55,22
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,15/03/2020,-89,-68,-60,-79,-46,20
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,15/03/2020,-86,-66,-59,-77,-43,20
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,15/03/2020,-91,-73,-74,-70,-50,22
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,15/03/2020,-90,-71,-83,-75,-49,24
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,15/03/2020,-92,-66,-86,-89,-56,21
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,15/03/2020,-90,-68,-82,-81,-53,22
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,15/03/2020,-89,-65,-79,-83,-49,20
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,16/03/2020,-75,-38,-61,-75,-60,28
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,16/03/2020,-72,-39,-50,-71,-53,26
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,16/03/2020,-68,-38,-43,-65,-50,25
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,16/03/2020,-75,-35,-44,-62,-52,26
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,16/03/2020,-72,-39,-55,-65,-50,25
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,16/03/2020,-75,-36,-61,-76,-55,26
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,16/03/2020,-74,-41,-49,-65,-53,25
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,16/03/2020,-73,-34,-54,-75,-50,24
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,17/03/2020,-77,-41,-55,-75,-62,30
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,17/03/2020,-74,-42,-57,-71,-56,27
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,17/03/2020,-71,-40,-51,-62,-52,25
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,17/03/2020,-78,-43,-46,-64,-54,27
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,17/03/2020,-74,-42,-66,-66,-53,27
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,17/03/2020,-77,-41,-63,-78,-58,28
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,17/03/2020,-76,-45,-38,-65,-57,26
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,17/03/2020,-77,-37,-48,-75,-53,26
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,18/03/2020,-79,-45,-62,-77,-63,31
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,18/03/2020,-76,-45,-51,-74,-57,28
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,18/03/2020,-72,-43,-62,-66,-52,27
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,18/03/2020,-79,-47,-53,-67,-54,28
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,18/03/2020,-76,-44,-62,-66,-54,28
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,18/03/2020,-79,-43,-64,-79,-59,28
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,18/03/2020,-78,-46,-53,-70,-58,27
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,18/03/2020,-77,-42,-55,-76,-53,26
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,19/03/2020,-79,-44,-67,-77,-64,32
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,19/03/2020,-76,-44,-51,-74,-58,29
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,19/03/2020,-72,-42,-55,-67,-52,27
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,19/03/2020,-79,-42,-57,-66,-55,29
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,19/03/2020,-76,-43,-62,-67,-56,29
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,19/03/2020,-79,-42,-68,-79,-60,30
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,19/03/2020,-77,-44,-66,-73,-61,29
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,19/03/2020,-77,-42,-55,-77,-56,27
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,20/03/2020,-80,-40,-71,-78,-65,34
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,20/03/2020,-76,-41,-70,-74,-59,31
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,20/03/2020,-74,-38,-62,-70,-54,30
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,20/03/2020,-81,-40,-65,-65,-56,31
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,20/03/2020,-78,-39,-74,-69,-57,32
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,20/03/2020,-81,-40,-74,-81,-60,32
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,20/03/2020,-81,-45,-72,-76,-62,32
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,20/03/2020,-80,-38,-71,-78,-57,30
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,21/03/2020,-86,-54,-83,-79,-61,26
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,21/03/2020,-86,-56,-73,-80,-57,26
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,21/03/2020,-83,-53,-78,-73,-52,25
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,21/03/2020,-88,-59,-73,-69,-55,26
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,21/03/2020,-86,-55,-83,-75,-59,29
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,21/03/2020,-89,-57,-85,-86,-59,25
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,21/03/2020,-89,-61,-85,-81,-59,26
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,21/03/2020,-87,-54,-83,-79,-54,25
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,22/03/2020,-95,-84,-92,-87,-61,24
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,22/03/2020,-93,-82,-80,-86,-55,23
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,22/03/2020,-91,-83,-80,-83,-52,23
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,22/03/2020,-95,-87,-87,-82,-56,24
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,22/03/2020,-94,-89,-92,-82,-58,26
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,22/03/2020,-96,-87,-94,-93,-63,23
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,22/03/2020,-96,-90,-92,-91,-61,25
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,22/03/2020,-94,-85,,-88,-54,22
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,23/03/2020,-81,-48,-81,-82,-72,34
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,23/03/2020,-78,-48,-70,-78,-63,31
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,23/03/2020,-75,-45,-64,-72,-61,30
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,23/03/2020,-82,-44,-72,-73,-66,31
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,23/03/2020,-79,-48,-75,-74,-63,31
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,23/03/2020,-82,-46,-79,-83,-68,31
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,23/03/2020,-82,-51,-75,-77,-66,30
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,23/03/2020,-80,-45,-70,-81,-62,29
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,24/03/2020,-82,-49,-78,-82,-73,35
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,24/03/2020,-79,-49,-73,-78,-64,31
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,24/03/2020,-76,-47,-65,-72,-62,31
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,24/03/2020,-83,-50,-66,-73,-67,32
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,24/03/2020,-79,-48,-80,-73,-64,32
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,24/03/2020,-82,-49,-80,-82,-69,33
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,24/03/2020,-83,-54,-70,-76,-68,31
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,24/03/2020,-82,-47,-70,-80,-64,30
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,25/03/2020,-83,-51,-81,-83,-74,36
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,25/03/2020,-80,-52,-71,-79,-66,32
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,25/03/2020,-77,-49,-76,-74,-62,32
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,25/03/2020,-84,-55,-73,-76,-68,34
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,25/03/2020,-81,-51,-80,-74,-64,33
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,25/03/2020,-84,-50,-80,-83,-70,33
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,25/03/2020,-85,-56,-76,-78,-69,32
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,25/03/2020,-83,-49,-63,-82,-64,31
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,26/03/2020,-84,-51,-82,-83,-75,37
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,26/03/2020,-82,-52,-73,-80,-67,34
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,26/03/2020,-79,-50,-74,-77,-66,34
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,26/03/2020,-85,-51,-72,-76,-73,36
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,26/03/2020,-82,-53,-80,-75,-67,35
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,26/03/2020,-84,-51,-81,-85,-72,35
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,26/03/2020,-85,-55,-82,-78,-70,34
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,26/03/2020,-83,-49,-69,-83,-68,32
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,27/03/2020,-84,-48,-81,-83,-75,39
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,27/03/2020,-81,-48,-78,-80,-66,36
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,27/03/2020,-79,-46,-76,-77,-66,37
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,27/03/2020,-84,-50,-69,-74,-72,38
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,27/03/2020,-82,-47,-82,-77,-67,37
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,27/03/2020,-85,-48,-79,-83,-72,37
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,27/03/2020,-85,-52,-76,-78,-69,36
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,27/03/2020,-83,-43,-76,-82,-67,35
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,28/03/2020,-87,-56,-83,-80,-64,27
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,28/03/2020,-87,-59,-76,-82,-60,27
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,28/03/2020,-84,-57,-79,-78,-56,27
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,28/03/2020,-89,-62,-73,-73,-60,27
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,28/03/2020,-87,-57,-85,-76,-62,29
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,28/03/2020,-90,-62,-88,-88,-63,26
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,28/03/2020,-89,-63,-84,-81,-62,27
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,28/03/2020,-88,-57,-84,-80,-57,25
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,29/03/2020,-95,-84,-90,-86,-61,23
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,29/03/2020,-93,-84,-77,-85,-54,22
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,29/03/2020,-91,-83,-77,-83,-50,23
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,29/03/2020,-96,-89,-85,-81,-58,24
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,29/03/2020,-94,-89,-90,-81,-57,26
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,29/03/2020,-96,-86,-93,-93,-62,23
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,29/03/2020,-95,-89,-90,-90,-60,24
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,29/03/2020,-94,-86,-89,-88,-55,22
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,30/03/2020,-83,-50,-80,-81,-74,35
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,30/03/2020,-80,-50,-72,-78,-64,32
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,30/03/2020,-77,-48,-71,-74,-64,32
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,30/03/2020,-84,-52,-74,-75,-71,33
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,30/03/2020,-81,-50,-77,-75,-65,32
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,30/03/2020,-84,-51,-82,-86,-71,33
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,30/03/2020,-84,-54,-75,-77,-68,31
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,30/03/2020,-82,-49,-75,-82,-65,31
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,31/03/2020,-91,-47,-77,-81,-74,36
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,31/03/2020,-91,-49,-74,-77,-65,32
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,31/03/2020,-88,-46,-69,-71,-64,32
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,31/03/2020,-91,-51,-66,-72,-71,34
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,31/03/2020,-89,-49,-81,-73,-66,33
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,31/03/2020,-90,-49,-78,-84,-71,33
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,31/03/2020,-93,-52,-71,-77,-68,32
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,31/03/2020,-89,-43,-67,-80,-66,31
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,01/04/2020,-90,-46,-76,-80,-74,36
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,01/04/2020,-91,-48,-63,-77,-65,32
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,01/04/2020,-86,-45,-72,-72,-63,32
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,01/04/2020,-90,-49,-67,-71,-71,34
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,01/04/2020,-89,-46,-74,-71,-65,33
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,01/04/2020,-90,-47,-77,-83,-70,33
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,01/04/2020,-93,-51,-67,-75,-68,32
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,01/04/2020,-88,-42,-61,-79,-65,31
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,02/04/2020,-90,-44,-75,-79,-73,36
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,02/04/2020,-90,-47,-62,-76,-65,32
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,02/04/2020,-86,-45,-64,-72,-63,33
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,02/04/2020,-90,-44,-66,-70,-70,34
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,02/04/2020,-89,-46,-72,-71,-65,33
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,02/04/2020,-89,-45,-76,-83,-70,34
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,02/04/2020,-92,-49,-70,-76,-68,32
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,02/04/2020,-88,-42,-65,-80,-65,31
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,03/04/2020,-85,-42,-75,-80,-72,38
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,03/04/2020,-84,-45,-73,-77,-64,34
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,03/04/2020,-80,-42,-69,-74,-63,34
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,03/04/2020,-86,-46,-68,-68,-69,37
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,03/04/2020,-84,-41,-74,-71,-64,35
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,03/04/2020,-86,-45,-77,-84,-69,36
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,03/04/2020,-88,-50,-74,-79,-68,35
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,03/04/2020,-83,-41,-68,-81,-65,34
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,04/04/2020,-89,-54,-83,-79,-63,27
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,04/04/2020,-90,-57,-74,-81,-57,27
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,04/04/2020,-85,-54,-78,-75,-53,26
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,04/04/2020,-90,-60,-75,-71,-59,26
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,04/04/2020,-89,-55,-84,-73,-61,29
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,04/04/2020,-90,-57,-86,-88,-61,26
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,04/04/2020,-91,-61,-86,-83,-60,27
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,04/04/2020,-87,-55,-80,-81,-55,25
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,05/04/2020,-96,-84,-89,-86,-61,24
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,05/04/2020,-95,-82,-78,-86,-55,23
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,05/04/2020,-92,-82,-76,-83,-49,23
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,05/04/2020,-96,-86,-84,-78,-57,23
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,05/04/2020,-94,-87,-90,-81,-56,26
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,05/04/2020,-96,-85,-92,-94,-61,22
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,05/04/2020,-95,-88,-89,-90,-60,24
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,05/04/2020,-95,-86,-85,-87,-55,22
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,06/04/2020,-83,-44,-76,-79,-71,33
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,06/04/2020,-82,-45,-64,-76,-61,30
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,06/04/2020,-77,-44,-59,-71,-60,29
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,06/04/2020,-84,-45,-62,-67,-68,32
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,06/04/2020,-81,-45,-68,-69,-62,30
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,06/04/2020,-82,-44,-76,-84,-66,31
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,06/04/2020,-86,-50,-69,-77,-65,29
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,06/04/2020,-80,-45,-69,-79,-62,29
